parameter,mean,median,mode,hpd_min,hpd_max,method,repressors,operator,IPTGuM,pred_bohr
empirical_bohr,-3.182357504841261,-3.1783549468192374,-3.1713190652369017,-3.3668668387310623,-2.9814974476925586,flow cytometry,22.0,O1,0.0,-3.0384278470504
fc_mu,0.04000816567630149,0.03998843872927965,0.04025941767359431,0.03279478152806181,0.04750099099420124,flow cytometry,22.0,O1,0.0,-3.0384278470504
fc_sigma,0.011936467881317487,0.0113322087743856,0.010426654616518984,0.007072509999310019,0.0182441678503749,flow cytometry,22.0,O1,0.0,-3.0384278470504
delta_bohr,-0.14392965779086106,-0.13992709976883733,-0.13289121818650163,-0.32843899168066226,0.05693039935784139,flow cytometry,22.0,O1,0.0,-3.0384278470504
empirical_bohr,-3.1779621191215544,-3.175108335482824,-3.171866641787241,-3.3266372706280345,-3.0333180353552427,flow cytometry,22.0,O1,0.1,-3.033923171415701
fc_mu,0.040099408903441484,0.04011326038055679,0.04023826540942621,0.034500509447917715,0.04574700142210031,flow cytometry,22.0,O1,0.1,-3.033923171415701
fc_sigma,0.009110657995704074,0.008626857030855771,0.00792151832801382,0.005137503554197147,0.013974766851402823,flow cytometry,22.0,O1,0.1,-3.033923171415701
delta_bohr,-0.14403894770584694,-0.14118516406712311,-0.1379434703715403,-0.2927140992123336,0.0006051360604582001,flow cytometry,22.0,O1,0.1,-3.033923171415701
empirical_bohr,-2.310706260371053,-2.3092557834791174,-2.3062397669563253,-2.4269805379623124,-2.199627716921496,flow cytometry,22.0,O1,5.0,-2.2948191086323586
fc_mu,0.09034856412159552,0.09035929655804437,0.09060750297661424,0.08113829830679375,0.09978392524443191,flow cytometry,22.0,O1,5.0,-2.2948191086323586
fc_sigma,0.014988087785410397,0.014225589202181397,0.012971380564025223,0.008693443104302916,0.022812492094674987,flow cytometry,22.0,O1,5.0,-2.2948191086323586
delta_bohr,-0.01588715173868633,-0.014436674846759034,-0.01142065832396666,-0.13216142932995378,0.09519139171086266,flow cytometry,22.0,O1,5.0,-2.2948191086323586
empirical_bohr,-1.760710495820771,-1.7576432493864682,-1.7490743536493978,-1.9920641697742965,-1.5516113059159609,flow cytometry,22.0,O1,10.0,-1.4774798271898053
fc_mu,0.14724716429016582,0.14708575194011952,0.14816398712834766,0.12003865443867323,0.17485366735663888,flow cytometry,22.0,O1,10.0,-1.4774798271898053
fc_sigma,0.04444210275031441,0.04240787346904566,0.039028028731093525,0.026120032200213316,0.06759813531758939,flow cytometry,22.0,O1,10.0,-1.4774798271898053
delta_bohr,-0.2832306686309643,-0.2801634221966628,-0.2715945264595925,-0.5145843425844912,-0.07413147872615555,flow cytometry,22.0,O1,10.0,-1.4774798271898053
empirical_bohr,-0.5736103470379071,-0.5719120754011098,-0.5694572120292606,-0.764092947950724,-0.37764298254940704,flow cytometry,22.0,O1,25.0,-0.07819845036102357
fc_mu,0.3607232242041342,0.36079574059814545,0.3613620797737147,0.3177583032610194,0.4066955065624952,flow cytometry,22.0,O1,25.0,-0.07819845036102357
fc_sigma,0.07333918968830641,0.07002801199199613,0.06538439399070062,0.042547719643067104,0.10847335954771097,flow cytometry,22.0,O1,25.0,-0.07819845036102357
delta_bohr,-0.49541189667688623,-0.49371362504008626,-0.491258761668237,-0.6858944975897004,-0.29944453218838346,flow cytometry,22.0,O1,25.0,-0.07819845036102357
empirical_bohr,0.5771853634279716,0.5763591665998623,0.5752137683033522,0.4502518230823515,0.696554853549948,flow cytometry,22.0,O1,50.0,0.9690129546923103
fc_mu,0.640292834922481,0.6402292210444176,0.6399653525019527,0.6106991054749358,0.667423496760493,flow cytometry,22.0,O1,50.0,0.9690129546923103
fc_sigma,0.046599555169559215,0.044461793655336736,0.04106892354490264,0.02791511274770605,0.06931543833788621,flow cytometry,22.0,O1,50.0,0.9690129546923103
delta_bohr,-0.39182759126433686,-0.392653788092448,-0.39379918638895806,-0.5187611316099587,-0.27245810114236235,flow cytometry,22.0,O1,50.0,0.9690129546923103
empirical_bohr,1.0400673189083456,1.036646745291979,1.0304332821431867,0.7667401635162487,1.2960789113047,flow cytometry,22.0,O1,75.0,1.5167878051457642
fc_mu,0.73805387587827,0.7382024752547722,0.7369998879911777,0.6867637998221009,0.78895748452123,flow cytometry,22.0,O1,75.0,1.5167878051457642
fc_sigma,0.08018459351796721,0.07701752744246398,0.07134280100514166,0.04801779766071586,0.11885604003126646,flow cytometry,22.0,O1,75.0,1.5167878051457642
delta_bohr,-0.47672048623741375,-0.4801410598537853,-0.4863545230025774,-0.7500476416295154,-0.22070889384106418,flow cytometry,22.0,O1,75.0,1.5167878051457642
empirical_bohr,1.7957828251215275,1.784871290775813,1.7655744689456958,1.4069495346344685,2.182527845136992,flow cytometry,22.0,O1,100.0,1.8645838070587075
fc_mu,0.8559103536126608,0.8562973299871666,0.8539064493040345,0.807286266942363,0.9019869221757575,flow cytometry,22.0,O1,100.0,1.8645838070587075
fc_sigma,0.0773272001770113,0.0741363527074289,0.06918920619275133,0.04610860849504986,0.11416379732362886,flow cytometry,22.0,O1,100.0,1.8645838070587075
delta_bohr,-0.06880098193717821,-0.07971251628289444,-0.09900933811301171,-0.45763427242423904,0.3179440380782843,flow cytometry,22.0,O1,100.0,1.8645838070587075
empirical_bohr,3.5914604768910516,3.3870438381262957,3.013384287773969,1.93951895196073,5.771947810620596,flow cytometry,22.0,O1,250.0,2.7123777134787623
fc_mu,0.9617277404189579,0.967297160340638,0.9531751347302664,0.9085554067432354,0.9999265030813606,flow cytometry,22.0,O1,250.0,2.7123777134787623
fc_sigma,0.12952352620201169,0.12531284641895238,0.12244823119376913,0.0826502507818947,0.18414802627195825,flow cytometry,22.0,O1,250.0,2.7123777134787623
